Source,Target,DATE,WEIGHT
ketgorjestani,france24_en,2016-11-07,1
ketgorjestani,vendeeglobe,2016-11-07,1
magictextiles,poppylegion,2016-11-07,1
tiperarycat,henrywinter,2016-11-07,1
cherubmamma,john_phillis,2016-11-07,1
mrkrismcd,ballymenaunited,2016-11-08,1
mrkrismcd,bbcsportni,2016-11-08,1
a_richardson93,piersmorgan,2016-11-08,1
williegilmour,clydessb,2016-11-08,1
colin_dolan,johnnythenic,2016-11-08,1
rogersjohn77,joe_co_uk,2016-11-08,1
gordyn_59,aircanada,2016-11-08,1
sausages27,tootsy_lea,2016-11-09,1
ajpufc,fawales,2016-11-10,1
clivemcnamee1,fawales,2016-11-10,1
llihir,bbcsport,2016-11-10,1
llihir,marvth3martian,2016-11-10,1
llihir,deandavies,2016-11-10,1
digsbymooose,fifacom,2016-11-10,1
digsbymooose,danroan,2016-11-10,1
jonsi_82,fifacom,2016-11-10,2
jonsi_82,fawales,2016-11-10,2
jonsi_82,dannymills23,2016-11-11,1
jonsi_82,bbc5live,2016-11-11,1
topfourpodcast,buzzradiobsu,2016-11-10,1
nicobel42535398,colinronaldwgna,2016-11-11,1
stefwillo,d_mitch54,2016-11-11,1
stefwillo,joshvosper,2016-11-11,1
alzo_m,fifacom,2016-11-11,1
mitch_mansfield,davidsgoldblatt,2016-11-11,1
knapy03,fifacom,2016-11-11,1
angrygrumpytoad,guardian,2016-11-11,1
angrygrumpytoad,poppylegion,2016-11-11,1
angrygrumpytoad,dawnhfoster,2016-11-11,1
angrygrumpytoad,skynews,2016-11-11,1
theianhalstead,fawales,2016-11-11,1
theianhalstead,garethbale11,2016-11-11,1
bantha29,bbcbreakfast,2016-11-11,2
bantha29,trump_ton,2016-11-11,1
davygravy22,bbcbreakfast,2016-11-11,1
clarkbatfan,fa,2016-11-11,1
histfamilles,fifacom,2016-11-11,1
dermiedermot,giantpoppywatch,2016-11-11,1
ollywoodtv,gmb,2016-11-11,1
ollywoodtv,wembleystadium,2016-11-11,1
lossensitivos,chrisdeerin,2016-11-12,1
p_j_d_247,fawales,2016-11-12,1
ashcroftthered,fawales,2016-11-12,1
beckiesussex,fifacom,2016-11-12,1
beckiesussex,poppylegion,2016-11-12,1
beckiesussex,englandrugby,2016-11-12,1
huwtroberts,fawales,2016-11-12,1
j0hn8ev,fawales,2016-11-12,1
j0hn8ev,walesaway,2016-11-12,1
jmwilliams1994,fifacom,2016-11-12,1
pjhobday,charliesansom,2016-11-13,1
cooperator1,campbellclaret,2016-11-13,1
cooperator1,theneweuropean,2016-11-13,1
willbeluckysoon,raheemkassam,2016-11-14,1
willbeluckysoon,dermotmurnaghan,2016-11-14,1
mappermick,talktojoe1850,2016-11-14,1
mappermick,jamesmcc_14,2018-10-31,1
mappermick,sinnfeinireland,2018-11-09,1
mappermick,readacronin,2018-11-03,1
mappermick,gerrycasey1968,2018-11-09,1
mappermick,fiannafailparty,2018-11-09,1
mappermick,finegael,2018-11-09,1
petitejean1,raheemkassam,2016-11-15,1
petitejean1,skynewstonight,2016-11-15,1
mrfiesta27,raheemkassam,2016-11-15,1
melon1879,bluesapper1,2016-11-15,1
leerandall2,raheemkassam,2016-11-15,1
rockcliffefiles,moggy45,2016-11-16,1
smickyboy,fifacom,2016-11-17,1
smickyboy,skysportsnewshq,2016-11-17,1
stuartcoltart,kayburley,2016-11-17,1
seldom_seen_3,fifacom,2016-11-17,1
seldom_seen_3,poppylegion,2016-11-17,1
omalleyhyde,fifacom,2016-11-17,1
stusatirical,fifacom,2016-11-17,1
parkaldo1,fa,2016-11-17,1
parkaldo1,fifacom,2016-11-17,1
qureshisamira,fifacom,2016-11-17,1
qureshisamira,england,2016-11-17,1
gale_adam,fifacom,2016-11-17,1
gale_adam,fifamedia,2016-11-17,1
gale_adam,bbcsport,2016-11-17,1
gale_adam,bbcnews,2016-11-17,1
danielgallan,fifacom,2016-11-17,1
adidaspumagc,fifacom,2016-11-17,1
gwosogw,jacobhodgkinso1,2016-11-17,1
kaydb75,fifacom,2016-11-17,1
doodledorno,fifacom,2016-11-17,1
chrisroypayne,fifacom,2016-11-17,1
jamesmaytrainer,fifacom,2016-11-17,1
dlewoldaccount,footballassoc,2016-11-17,1
mg_barker,fifacom,2016-11-17,1
zwitschermond,fifacom,2016-11-17,1
dollpiggy,fa,2016-11-17,1
dollpiggy,fifacom,2016-11-17,1
dollpiggy,scottishfa,2016-11-17,1
dollpiggy,poppylegion,2016-11-17,1
atpoetry,fifacom,2016-11-17,1
mainiesman,fifa,2016-11-17,1
willhamblin,fa,2016-11-17,1
jamierowntree1,fifacom,2016-11-17,1
paul_critchlow,fifacom,2016-11-17,2
paul_critchlow,england,2016-11-18,1
aminurahman,kateosamor,2016-11-17,1
maddmidboca,thelastleg,2016-11-17,1
wildman_adam,kayburley,2016-11-17,1
beardo_41,dgoughie,2016-11-17,1
beardo_41,talksportdrive,2016-11-17,1
bencmorgan,fa,2016-11-17,1
bencmorgan,fifacom,2016-11-17,1
bencmorgan,england,2016-11-17,1
veldpark,kayburley,2016-11-17,1
cat_291,kayburley,2016-11-17,1
chrishawkins52,kayburley,2016-11-17,1
bobbyonabike,kayburley,2016-11-17,1
therealreddevil,talksportdrive,2016-11-17,1
liarpoliticians,kayburley,2016-11-17,1
sugarray79,fifacom,2016-11-18,1
sugarray79,fifaworldcup,2016-11-18,1
airborneelvis,fifacom,2016-11-18,1
andreacutts,fifacom,2016-11-18,1
djadzevics,fifacom,2016-11-18,1
robojon26,fifacom,2016-11-18,1
paulineinessex,england,2016-11-18,1
wilfred_diego,fifacom,2016-11-18,1
wilfred_diego,luisadrianouk,2016-11-18,1
darengame,fa,2016-11-18,1
darengame,fifacom,2016-11-18,1
darengame,waynerooney,2016-11-18,1
chrisdavies1966,johncrossmirror,2016-11-18,1
sykotuba,fifa,2016-11-18,1
dan_disco,fifacom,2016-11-18,1
bunsrule,fifacom,2016-11-18,1
bunsrule,fifaworldcup,2016-11-18,1
benhunt74,fa,2016-11-18,1
benhunt74,fifacom,2016-11-18,1
deejwattsdarren,gnev2,2016-11-18,1
deejwattsdarren,telefootball,2016-11-18,1
ysbwng,bbcr4today,2016-11-18,1
ysbwng,markaustinitv,2016-11-18,1
wingman1882,fa,2016-11-18,2
wingman1882,scotlandfa,2017-02-10,1
wingman1882,fifa,2017-09-25,1
wingman1882,fifamedia,2016-12-02,1
wingman1882,scottishfa,2016-11-18,1
wingman1882,fawales,2017-02-10,1
wingman1882,northernireland,2017-02-10,1
thescarletman,fifacom,2016-11-18,1
jamesreinansw,fifacom,2016-11-18,1
jamesreinansw,beefybotham,2016-11-18,1
mishswilli,fifacom,2016-11-18,1
tyroneowenno1,fifacom,2016-11-18,1
heymisskimbo,thelastleg,2016-11-18,1
heymisskimbo,davidwalliams,2016-11-18,1
heymisskimbo,channel4,2016-11-18,1
borolife,twofatfeet,2016-11-18,1
mh0rvath,bbcr4today,2016-11-18,1
jmfarge,fa,2016-11-18,1
jmfarge,fifacom,2016-11-18,1
jmfarge,scottishfa,2016-11-18,1
stimsonchris,fifacom,2016-11-18,1
pete878,fa,2016-11-18,1
suesysuesysuesy,fifacom,2016-11-18,1
daveevrall,fifacom,2016-11-18,1
corkygooner,arsenalobsessed,2016-11-19,1
aleifh2,livefootball,2016-11-22,1
the_wilsons9,fifacom,2016-11-23,1
agent_zigzag77,robharris,2016-11-23,1
eep1975,fifacom,2016-11-23,1
swindonsays,fifacom,2016-11-23,1
lintz18,fa,2016-11-23,1
lintz18,fifacom,2016-11-23,1
sozzledozil,fifacom,2016-11-23,1
jongreen_uk,fifacom,2016-11-23,1
charlieeh47,fifacom,2016-11-23,1
marcapanthony,fifaworldcup,2016-11-23,1
dneedham68,fifacom,2016-11-23,1
freestone30,fifacom,2016-11-23,1
iawnde,fifacom,2016-11-23,1
prosssteve,fifacom,2016-11-23,2
prosssteve,fawales,2016-11-23,2
prosssteve,robsonkanu,2016-11-23,1
prosssteve,wba,2016-11-23,1
prosssteve,concavefootball,2016-11-23,1
maimunab,fifacom,2016-11-23,1
scoobsplenty,fifacom,2016-11-23,1
knighty_316,fa,2016-11-23,1
biffa01,garylineker,2016-11-23,1
biffa01,fawales,2016-11-23,1
biffa01,skysportsnewshq,2016-11-23,1
creative_cordy,garylineker,2016-11-23,1
bennycryan,borisjohnson,2016-11-23,1
rihaines,fifacom,2016-11-23,1
jlewisrunner1,fifacom,2016-11-23,1
neiledwards1988,fawales,2016-11-23,1
pooop11144,fifacom,2016-11-23,1
w2aps,fifacom,2016-11-23,1
markchrisrowley,fifacom,2016-11-23,1
iamseanyp,fifacom,2016-11-23,1
cpfcbarbarian,skysportsnewshq,2016-11-23,1
ian_golden,fawales,2016-11-23,1
sharpeythejack,fa,2016-11-23,1
sharpeythejack,fifacom,2016-11-23,1
sharpeythejack,fatma_samoura,2016-11-23,1
sharpeythejack,scottishfa,2016-11-23,1
sharpeythejack,fawales,2016-11-23,1
sharpeythejack,officialirishfa,2016-11-23,1
radiotrabs,fifacom,2016-11-23,1
lihou,gjlp1,2016-11-24,1
lihou,guernseybot,2016-11-24,1
mikejdbyrne,jabnettjon,2016-11-24,1
rick1cs,easportsfifa,2016-11-24,1
betfc_tips,fifacom,2016-11-24,1
jonesnlight,fifacom,2016-11-24,1
_geordie_,fifacom,2016-11-24,1
andreagray58,lbc,2016-11-24,1
updowndave,fifacom,2016-11-24,1
updowndave,footballassoc,2016-11-24,1
claffl,unionuea,2016-11-25,1
dxbct,fifacom,2016-11-25,1
dxbct,england,2016-11-25,1
dxbct,scotlandfa,2016-11-25,1
mickeybennett,thesocialclubni,2016-11-30,1
dave999sutty,fifacom,2016-12-02,1
richardupshall,fifacom,2016-12-03,1
danny_bhoy88,fifacom,2016-12-08,1
danny_bhoy88,england,2016-12-08,1
danny_bhoy88,scottishfa,2016-12-08,1
danny_bhoy88,fawales,2016-12-08,1
belpernta,fatma_samoura,2016-12-13,1
ianmatheson,toryboypierce,2016-12-19,1
spewie01,fifacom,2016-12-19,1
pinklady9393,fifacom,2016-12-19,1
kerryvr46,fifacom,2016-12-19,1
rebeccaworth6,fifacom,2016-12-19,1
rebeccaworth6,england,2016-12-19,1
rebeccaworth6,poppylegion,2016-12-19,1
neilselman147,fifacom,2016-12-19,1
sjspode,fa,2016-12-19,1
sjspode,fifacom,2016-12-19,1
benbo2013,fifacom,2016-12-19,1
madmanuk,fifacom,2016-12-19,1
jbaldockwbafc,fbawaydays,2016-12-19,1
dw_sports,fifacom,2016-12-19,1
dw_sports,theresa_may,2016-12-19,1
johnmessingham,fifacom,2016-12-19,1
ethelandedna,fifacom,2016-12-19,1
ethelandedna,footballassoc,2016-12-19,1
macca0870,fa,2016-12-19,1
macca0870,fifacom,2016-12-19,1
deepingred,fifacom,2016-12-19,1
shermbrown,fa,2016-12-19,1
essteepee15,fifacom,2016-12-19,1
charlienewsome,england,2016-12-19,1
grotebazz,fa,2016-12-19,1
grotebazz,fifacom,2016-12-19,1
andrewyjohnston,fifacom,2016-12-19,1
andrewyjohnston,poppylegion,2016-12-19,1
craig150275,fifacom,2016-12-19,1
parmoman,fifacom,2016-12-19,1
alanmeikle,bmcglynn78,2016-12-19,1
aspirantdiva,fa,2016-12-19,1
aspirantdiva,poppylegion,2016-12-19,1
democranarch,fifacom,2016-12-19,1
xxmaccosxx,fifacom,2016-12-19,1
keessie84,fifacom,2016-12-19,1
kenfy,fifacom,2016-12-19,1
andrew14ad,peterramage83,2016-12-19,1
andrew14ad,nufctoontalk,2016-12-19,1
andrew14ad,geordiedentist,2016-12-19,1
andrew14ad,john_nufc42,2016-12-19,1
100holmesy,bbcsport,2016-12-19,1
100holmesy,bbcworld,2016-12-19,1
philly_1987,fa,2016-12-19,1
freddie_ben,fifacom,2016-12-19,1
ottergian,fifacom,2016-12-19,1
wolveslad27,england,2016-12-19,1
politest_weegie,bbcsportsound,2016-12-19,1
portercraig1,fifacom,2016-12-19,1
tombennett1982,fifacom,2016-12-19,1
steven_lfc5,fa,2016-12-19,1
steven_lfc5,waddingtonrbl,2016-12-19,1
ab1acksheep,3lions_,2016-12-19,1
crewser_uk,jdperry2187,2016-12-19,1
crewser_uk,fifacom,2016-12-19,1
crewser_uk,bbcsport,2016-12-19,1
itsmahughes,footballassoc,2016-12-19,1
nultydave,fifacom,2016-12-19,1
owensdavies,fifacom,2016-12-19,1
aquitaine1972,fifamedia,2016-12-19,1
cds4324,fifacom,2016-12-19,1
cds4324,england,2016-12-19,1
cds4324,scottishfa,2016-12-19,1
cds4324,shr33k1,2016-12-19,1
slovell1965,fifacom,2016-12-19,1
gazmoore64,fifacom,2016-12-19,1
jimthetripodman,fifamedia,2016-12-19,1
sportsplurge,fifacom,2016-12-19,1
sportsplurge,garylineker,2016-12-19,1
sportsplurge,poppylegion,2016-12-19,1
sportsplurge,easportsfifa,2016-12-19,1
sportsplurge,mrjakehumphrey,2016-12-19,1
kevinarowan,fa,2016-12-19,1
kevinarowan,fifacom,2016-12-19,1
kevinarowan,fifamedia,2016-12-19,1
lescromps,skynews,2016-12-19,1
smdosh1985,kayburley,2016-12-19,1
grattonboy,fifacom,2016-12-19,1
grattonboy,skynews,2016-12-19,1
johnfortune2002,fifacom,2016-12-19,1
phil_vcsa,easportsfifa,2016-12-19,1
benji_fav,fifacom,2016-12-19,1
davelaister,garrybirtles9,2016-12-19,1
mikebrewer1,fifa,2016-12-19,1
alippritchard,fifacom,2016-12-19,1
york_designers,fa,2016-12-20,1
york_designers,thesun,2016-12-20,1
radiosnide,frpaulstone,2016-12-20,2
radiosnide,sweirz,2016-12-20,1
igc_uk,telegraph,2016-12-20,1
raybennison1,fifacom,2016-12-20,1
gian_romeo,fifacom,2016-12-20,1
daveypalmer1,poppylegion,2016-12-20,1
andywebster5,skynews,2016-12-20,1
andywebster5,michelledewbs,2016-12-20,1
viclodgeshankli,fa,2016-12-20,1
viclodgeshankli,fifa,2016-12-20,1
viclodgeshankli,helptheheroes1,2016-12-20,1
wakizashimaster,fifacom,2016-12-20,1
colinbongobrown,fa,2016-12-21,1
colinbongobrown,fifacom,2016-12-21,1
stickuk,nestacooper,2017-01-10,1
voxvot,raheemkassam,2017-01-27,1
voxvot,shobbs627,2017-01-27,1
voxvot,kyl80624772kyl,2017-01-27,1
voxvot,breitbartnews,2017-01-27,1
voxvot,siriusxmpatriot,2017-01-27,1
peegeetweets,radiostephen,2017-01-27,1
peegeetweets,breakfastcate,2017-01-27,1
charlesgreen_67,kraljski,2017-02-22,1
charlesgreen_67,bazphilboid,2017-02-22,1
charlesgreen_67,uefa,2017-02-22,1
vemsteroo,newforestimages,2017-06-16,1
ciaran_88,thenotoriousmma,2017-06-26,1
11samtucker,a_pilling,2017-07-15,1
hibbytrish,angryscotland,2017-07-27,1
sweetirishf,johnny_scotland,2017-08-02,1
sweetirishf,jamesmcc_14,2018-11-05,1
thegrainoffice,agsplayers,2017-09-18,1
hegs_com,rupert_fryer,2017-09-24,1
gaeilge_abu,mephistophilles,2017-09-24,1
gaeilge_abu,badcrumblerjh,2017-09-24,1
